
"1908",54.2
"1909",57.7
"1910",73.9
"1911",62.1
"1912",74.9
"1913",63.6
"1914",41.7
"1915",99
"1916",794
"1917",628
"1918",83
"1919",75.1
"1920",517
"1921",808
"1922",310
"1923",316
"1924",329
"1925",170
"1926",140
"1927",159
"1928",176
"1929",264
"1930",111
"1931",299
"1932",408
"1933",219
"1934",1050
"1935",1470
"1936",1010
"1937",1450
"1938",1740
"1939",3170
"1940",3760
"1941",872
"1942",280
"1943",90.4
"1944",89.3
"1945",83.2
"1946",340
"1947",1720
"1948",1720
"1949",686
"1950",145
"1951",72.2
"1952",658
"1953",41.8
"1954",33.7
"1955",91.1
"1956",116
"1957",240
"1958",253
"1959",264
"1960",290
"1961",50.2
"1962",134
"1963",39.8
"1964",36.4
"1965",90.4
"1966",37.3
"1967",28.9
"1968",185
"1969",182
"1970",134
"1971",196
"1972",191
"1973",120
"1974",82.5
"1975",82.8
"1976",82.6
"1977",139
"1978",146
"1979",144
"1980",141
"1981",145
"1982",153
"1983",143
"1984",245
"1985",256
"1986",490
"1987",120
"1988",92.5
"1989",153
"1990",97.5
"1991",179
"1992",174
"1993",169
"1994",136
"1995",140
"1996",159
"1997",209
"1998",278
"1999",221
"2000",223
"2001",193
"2002",217
"2003",249
"2004",283
"2005",341
"2006",263
"2007",170
"2008",231
"2009",320
"2010",604
"2011",143
